HA	𒄩
HI	𒄭
HU	𒄷
I	𒄿
IA	𒅀
IB	𒅁
ID	𒀉
IG	𒅅
IK	𒅅
IL	𒀧
IL2	𒅍
IM	𒅎
IN	𒅔
IR	𒅕
IRI	𒅕
ISZ	𒅖
IZ	𒄑
KA	𒅗
KAB	𒆏
KAM	𒄭𒁁
KI	𒆠
KIB	𒄒
KU	𒆪
KUM	𒄣
KUR	𒆳
LA	𒆷
LAM	𒇴
LE	𒇷
LI	𒇷
LU	𒇻
LU2	𒇽
LUM	𒈝
MA	𒈠
ME	𒈨
MI	𒈪
NA	𒈾
NAM	𒉆
NE	𒉈
NI	𒉌
NIG2	𒃻
NIM	𒉏
NIN	𒊩𒌆
NU	𒉡
NUN	𒉣
PA	𒉺
PI	𒉿
RA	𒊏
RI	𒊑
RU	𒊒
S,I	𒍢
SA	𒊓
SAG	𒊕
SAR	𒊬
SIG	𒋝
SU	𒋢
SZA	𒊭
SZE	𒊺
SZE3	𒂠
SZESZ	𒋀
SZI	𒅆
SZIM	𒋆
SZIR	𒋓
SZU	𒋗
TA	𒋫
TAB	𒑊
TAM	𒌓
TAR	𒋻
TE	𒋼
TI	𒋾
TIM	𒁴
TU	𒌅
TUG2	𒌆
TUL2	𒇥
TUM	𒌈
TUR	𒌉
U2	𒌑
U3	𒅇
U4	𒌓
UB	𒌒
UD	𒌓
UG	𒊌
UK	𒊌
UL	𒌌
UM	𒌝
UR	𒌨
USZ	𒍑
UZ	𒊻
WA	𒁀
WE	𒉿
WI	𒉿
ZA	𒍝
ZE	𒍣
ZI	𒍣
ZI2	𒍢
ZU	𒍪
ZUM	𒍮
a	𒀀
a2	𒀉
ab	𒀊
ab2	𒀖
abul	𒆍𒃲
abzu	𒍪𒀊
ad	𒀜
adab	𒌓𒉣
ag	𒀝
ag2	𒉘
aga	𒂆
agrig	𒅆𒁾
ak	𒀝
akszak	𒌔
al	𒀠
alam	𒀩
alan	𒀩
am	𒄠
am3	𒀀𒀭
ama	𒂼
amar	𒀫
an	𒀭
ansze	𒄏
ap	𒀊
apin	𒀳
aq	𒀝
ar	𒅈
ar3	𒄯
as	𒊍
as,	𒊍
as2	𒀾
asal	𒍂
asal2	𒀷
asar	𒍂
asz	𒀸
asz2	𒀾
asza5	𒃷
aszgab	𒀿
asznan	𒊺𒌁
at	𒀜
at,	𒀜
az	𒊍
az2	𒀾
az3	𒀸
azlag2	𒌆
ba	𒁀
ba4	𒀀𒀭𒂷
ba6	𒁀𒌑
babbar	𒌓
bad3	𒂦
bal	𒁄
bala	𒁄
ban	𒉼
ban2	𒑏
ban3	𒌉
banda3	𒌉
banesz	𒑑
banszur	𒍎
bappir	𒋋
bar	𒁇
bara2	𒁁
bat	𒁁
be	𒁁
be2	𒁉
bi	𒁉
bi2	𒉈
bil	𒉈
bil2	𒉋
bir2	𒌓
bir4	𒂔
bisz	𒄫
bu	𒁍
bum	𒅤
bun2	𒅮
bur	𒁓
bur3	𒌋
buranun	𒌓𒄒𒉣
buru14	𒂘
d	𒀭
da	𒁕
dab	𒁳
dab5	𒆪
dabin	𒂠𒊺
dag	𒁖
dagal	𒂼
dam	𒁮
dan	𒄨
daq	𒁖
dar	𒁯
de	𒁲
de3	𒉈
de4	𒋼
di	𒁲
di2	𒊹
di3	𒋾
dib	𒁳
dida	𒁉𒌑𒊓
didli	𒐀
dil	𒀸
dilmun	𒉌𒌇
dim	𒁴
dim2	𒁶
dim4	𒉽𒉽
din	𒁷
dingir	𒀭
diri	𒋛𒀀
dirig	𒋛𒀀
disz	𒁹
du	𒁺
du10	𒄭
du11	𒅗
du3	𒆕
du5	𒂅
du6	𒇯
du7	𒌌
du8	𒂃
dub	𒁾
dug	𒂁
dug3	𒄭
duh	𒂃
dul3	𒊨
dul5	𒌆
dumu	𒌉
duru5	𒀀
dusu	𒅍
dusu2	𒀲𒅇
e	𒂊
e2	𒂍
e3	𒌓𒁺
ea	𒀀
eb	𒅁
ed	𒀉
edin	𒂔
eg	𒅅
egir	𒂕
ek	𒅅
el	𒂖
el2	𒅋
el3	𒀭
elam	𒉏
em	𒅎
eme	𒅴
en	𒂗
en6	𒅔
engar	𒀳
enku	𒍠𒄩
ensi2	𒑐𒋼𒋛
ep	𒅁
eq	𒅅
er	𒅕
er2	𒀀𒅆
er3	𒀴
eren2	𒂟
eresz2	𒉀
eri	𒅕
erim	𒂟
erin	𒂞
erin2	𒂟
erisz	𒊩𒈠
es	𒄑
es,	𒄑
esir	𒀀𒇒
esz	𒌍
esz15	𒅖
esz18	𒀹
esz2	𒂠
esz3	𒀊
esza	𒀀𒌁
esze3	𒑘
et	𒀉
et,	𒀉
ez	𒄑
ezem	𒂡
ga	𒂵
ga2	𒂷
gab	𒃮
gaba	𒃮
gada	𒃰
gag	𒆕
gal	𒃲
gal2	𒅅
gala	𒃲
gan	𒃶
gan2	𒃷
ganba	𒆠𒇴
gar	𒃻
gar3	𒃼
gaz	𒄤
ge	𒄀
ge6	𒈪
geme	𒊩
geme2	𒊩𒆳
gesz	𒄑
gesztin	𒃾
gesztu2	𒄑𒌆𒉿
gi	𒄀
gi2	𒆤
gi4	𒄄
gi7	𒂠
gibil	𒉋
gid2	𒁍
gidri	𒉺
gigir	𒇀
gim	𒁶
gin	𒁺
gin2	𒂅
gin7	𒁶
gir	𒄫
gir14	𒄩
gir2	𒄈
gir3	𒄊
gir8	𒆸
giri17	𒅗
giri3	𒄊
gissu	𒄑𒈪
gisz	𒄑
gu	𒄖
gu2	𒄘
gu4	𒄞
gu7	𒅥
gub	𒁺
gud	𒄞
gul	𒄢
gum2	𒈝
gur	𒄥
gur10	𒆥
gur11	𒂵
gur8	𒋽
guru7	𒄦
gurusz	𒄨
ha	𒄩
hal	𒄬
hi	𒄭
hu	𒄷
hub2	𒄸
i	𒄿
i3	𒉌
i7	𒀀𒇉
ia	𒅀
ia2	𒐊
ia3	𒉌
ib	𒅁
ib2	𒌈
ibila	𒌉𒍑
id	𒀉
id2	𒀀𒇉
idigna	𒈦𒄘𒃼
idim	𒁁
ig	𒅅
igi	𒅆
ii	𒅀
ik	𒅅
iku	𒃷
il	𒀧
il2	𒅍
il3	𒀭
il5	𒂖
illat	𒆜𒆳
im	𒅎
imin	𒑂
imma3	𒅊
in	𒅔
ina	𒀸
inanna	𒈹
inim	𒅗
ip	𒅁
iq	𒅅
ir	𒅕
ir3	𒀴
iri	𒅕
is	𒄑
is,	𒄑
is2	𒅖
is3	𒀊
is4	𒀾
isz	𒅖
isz3	𒌍
isz7	𒀊
isz8	𒀹
iszkur	𒅎
isztaran	𒅗𒁲
it	𒀉
it,	𒀉
iti	𒌚
iu	𒅀
iz	𒄑
ka	𒅗
ka2	𒆍
ka3	𒂵
ka9	𒋃
kab	𒆏
kak	𒆕
kal	𒄨
kal2	𒃲
kalag	𒄨
kalam	𒌦
kam	𒄭𒁁
kap	𒆏
kar	𒋼𒀀
kar2	𒃸
kar3	𒃼
kas4	𒁽
kaskal	𒆜
kasz	𒁉
ke	𒆠
ke4	𒆤
kesz2	𒂡
kesz3	𒋙𒀭𒄲
ki	𒆠
ki2	𒄀
kid	𒆤
kikken2	𒄯𒄯
kilib	𒆸
kin	𒆥
kir	𒄫
kiri6	𒊬
kisz	𒆧
kiszib	𒈩
kiszib3	𒁾
ku	𒆪
ku13	𒄣
ku3	𒆬
ku4	𒆮
ku5	𒋻
ku6	𒄩
kul	𒆰
kum	𒄣
kun	𒆲
kup4	𒆤
kur	𒆳
kur2	𒉽
kurun2	𒁷
kuruszda	𒆯
kusz	𒋢
kusz3	𒌑
la	𒆷
la2	𒇲
lagasz	𒋓𒁓𒆷
lam	𒇴
lamma	𒄨
larsa	𒌓𒀕
le	𒇷
lem	𒅆
li	𒇷
li2	𒉌
li3	𒅆
libir	𒅆𒂠
lik	𒌨
lil2	𒆤
lim	𒅆
lu	𒇻
lu2	𒇽
lu4	𒈝
lugal	𒈗
lukur	𒊩𒈨
lum	𒈝
ma	𒈠
ma2	𒈣
mah	𒈤
mal	𒂷
man	𒌋𒌋
mar	𒈥
mar2	𒀫
marduk	𒀫𒌓
masz	𒈦
masz2	𒈧
maszkim	𒑐𒁽
me	𒈨
me2	𒈪
mesz	𒈨𒌍
mi	𒈪
mi2	𒊩
mi3	𒈨
mil	𒅖
mu	𒈬
mug	𒈮
mun	𒁵
munu4	𒉽𒉽
munus	𒊩
mur	𒄯
musz	𒈲
musz5	𒋀
muszen	𒄷
na	𒈾
na4	𒉌𒌓
nag2	𒉀
nagar	𒉄
nagga	𒀭𒈾
nam	𒉆
nanna	𒌶𒆠
nansze	𒀏
nar	𒈜
ne	𒉈
ne2	𒉌
ne3	𒄊
nergal	𒄊𒀕𒃲
ni	𒉌
nibru	𒂗𒆤
nidba2	𒉻𒈹
nig2	𒃻
nigin3	𒌋𒌓𒆤
nigin6	𒀒
nim	𒉏
nimgir	𒂆
nin	𒊩𒌆
nina	𒀏
ninda	𒃻
nir	𒉪
nita	𒍑
nita2	𒀴
nu	𒉡
nu2	𒈿
num	𒉏
numun	𒆰
nun	𒉣
nunuz	𒉭
pa	𒉺
pa12	𒉿
pa2	𒁀
pa3	𒅆𒊒
pa4	𒉽
pa5	𒉽𒂊
pal	𒁄
par2	𒁇
pe	𒉿
pe2	𒁉
pesz	𒄫
pesz2	𒉾
pi	𒉿
pi2	𒁉
pi4	𒅗
pil	𒉈
pil2	𒉋
pir	𒌓
pirig	𒄊
pisan	𒂷
pisz	𒄫
pu	𒁍
pur	𒁓
puzur	𒌋
puzur4	𒅤𒊭
qa	𒋡
qa2	𒂵
qa3	𒅗
qal4	𒄨
qar	𒃼
qar3	𒃻
qe	𒆥
qe2	𒆠
qe3	𒄀
qi	𒆥
qi2	𒆠
qi3	𒄀
qi4	𒄄
qir	𒄫
qu	𒄣
qu2	𒆪
qu3	𒄖
qum	𒄣
qur2	𒆳
ra	𒊏
ra2	𒁺
rasz	𒆜
re	𒊑
ri	𒊑
ri2	𒌷
rim5	𒀸
ru	𒊒
ru3	𒀸
rum	𒀸
s,a	𒍝
s,ar	𒇡
s,e	𒍢
s,e2	𒍣
s,i	𒍢
s,i2	𒍣
s,il2	𒈪
s,ir	𒈲
s,u	𒍮
s,u2	𒍪
s,um	𒍮
s,ur	𒀫
sa	𒊓
sa12	𒊕
sa2	𒁲
sa3	𒍝
sa6	𒊷
sag	𒊕
sag11	𒆥
saga	𒊕
sak	𒊕
sal	𒊩
sanga	𒋃
sar	𒊬
se	𒋛
se2	𒍣
se3	𒋧
si	𒋛
si2	𒍣
si3	𒋧
si4	𒋜
sig	𒋝
sig17	𒄀
sig2	𒋠
sig4	𒋞
siki	𒋠
sikil	𒂖
sila	𒋻
sila3	𒋡
sila4	𒃢
silig	𒍂
silim	𒁲
sim	𒉆
simug	𒌣
sin	𒌍
sin2	𒉆
sipa	𒉺𒇻
sipad	𒉺𒇻
sir2	𒁍
sir3	𒂡
su	𒋢
su2	𒍪
su3	𒋤
su7	𒇭
suen	𒂗𒍪
sukkal	𒈛
sum	𒋧
sum2	𒍮
sun2	𒄢
sur	𒋩
sza	𒊭
sza13	𒊹
sza3	𒊮
szabra	𒑐𒀠
szakkan2	𒄊
szam	𒌑
szam3	𒉓
szar	𒊬
szara2	𒇋
